date,average_valence,date
2020-06-15,0.5132495174458762,2020-06-15
2020-06-14,0.5112981057400829,2020-06-14
2020-06-13,0.5279287028524408,2020-06-13
2020-06-12,0.5223378696814195,2020-06-12
2020-06-11,0.516369459646224,2020-06-11
2020-06-10,0.5129497023464303,2020-06-10
2020-06-09,0.5081940149877155,2020-06-09
2020-06-08,0.5086564800150044,2020-06-08
2020-06-07,0.5043913904407625,2020-06-07
2020-06-06,0.5203157862856065,2020-06-06
2020-06-05,0.5120211254663796,2020-06-05
2020-06-04,0.5166032422356129,2020-06-04
2020-06-03,0.5206820098163238,2020-06-03
2020-06-02,0.5248911177835355,2020-06-02
2020-06-01,0.5265468524404666,2020-06-01
2020-05-31,0.5283234344026776,2020-05-31
2020-05-30,0.5252074700197937,2020-05-30
2020-05-29,0.5139506791568919,2020-05-29
2020-05-28,0.5119589469993753,2020-05-28
2020-05-27,0.5128816718433328,2020-05-27
2020-05-26,0.508236256996174,2020-05-26
2020-05-25,0.5047288918162562,2020-05-25
2020-05-24,0.5072300459166122,2020-05-24
2020-05-23,0.5106245615257968,2020-05-23
2020-05-22,0.5046769653756547,2020-05-22
2020-05-21,0.5276098947396057,2020-05-21
2020-05-20,0.5173173583347381,2020-05-20
2020-05-19,0.5138034822924037,2020-05-19
2020-05-18,0.5128569268720196,2020-05-18
2020-05-17,0.5145625274962174,2020-05-17
2020-05-16,0.5160349257035461,2020-05-16
2020-05-15,0.5002330175799736,2020-05-15
2020-05-14,0.5054636215626258,2020-05-14
2020-05-13,0.5058505408935386,2020-05-13
2020-05-12,0.5087142595952637,2020-05-12
2020-05-11,0.5032308549057489,2020-05-11
2020-05-10,0.5110042908806464,2020-05-10
2020-05-09,0.5260049946724881,2020-05-09
2020-05-08,0.5180328359753056,2020-05-08
2020-05-07,0.5193240078055882,2020-05-07
2020-05-06,0.5113242526325117,2020-05-06
2020-05-05,0.5018419654600279,2020-05-05
2020-05-04,0.5110233274190056,2020-05-04
2020-05-03,0.5068432840182647,2020-05-03
2020-05-02,0.5120382437218245,2020-05-02
2020-05-01,0.504658309548753,2020-05-01
2020-04-30,0.49994739420810064,2020-04-30
2020-04-29,0.4989247116967879,2020-04-29
2020-04-28,0.49243258044634763,2020-04-28
2020-04-27,0.49656968113927524,2020-04-27
2020-04-26,0.49283968428282626,2020-04-26
2020-04-25,0.5062967822798338,2020-04-25
2020-04-24,0.49793407488018154,2020-04-24
2020-04-23,0.5207928091072168,2020-04-23
2020-04-22,0.524797333447433,2020-04-22
2020-04-21,0.5160719584469813,2020-04-21
2020-04-20,0.5213725186733192,2020-04-20
2020-04-19,0.5176375742660764,2020-04-19
2020-04-18,0.5337562256254245,2020-04-18
2020-04-17,0.5256777969793247,2020-04-17
2020-04-16,0.5390611592784403,2020-04-16
2020-04-15,0.5378749736823707,2020-04-15
2020-04-14,0.5387961868930202,2020-04-14
2020-04-13,0.5409249229226294,2020-04-13
2020-04-12,0.5387978553723227,2020-04-12
2020-04-11,0.5451978384947276,2020-04-11
2020-04-10,0.5424762215704672,2020-04-10
2020-04-09,0.5377450829166102,2020-04-09
2020-04-08,0.5355790914978842,2020-04-08
2020-04-07,0.538285069032754,2020-04-07
2020-04-06,0.5331428054787656,2020-04-06
2020-04-05,0.5350015831023612,2020-04-05
2020-04-04,0.536831816581791,2020-04-04
2020-04-03,0.5270874819765093,2020-04-03
2020-04-02,0.533751214567701,2020-04-02
2020-04-01,0.5310669662547104,2020-04-01
2020-03-31,0.5240672235853772,2020-03-31
2020-03-30,0.5262370887681252,2020-03-30
2020-03-29,0.5229382488733955,2020-03-29
2020-03-28,0.5401473939091546,2020-03-28
2020-03-27,0.5266343847568099,2020-03-27
2020-03-26,0.5203328957029394,2020-03-26
2020-03-25,0.516202710765508,2020-03-25
2020-03-24,0.5127952275494297,2020-03-24
2020-03-23,0.5057591354937095,2020-03-23
2020-03-22,0.4998108237136764,2020-03-22
2020-03-21,0.5071824097654745,2020-03-21
2020-03-20,0.49304099127575035,2020-03-20
2020-03-19,0.5243671768683694,2020-03-19
2020-03-18,0.5248579357423465,2020-03-18
2020-03-17,0.5224118503538104,2020-03-17
2020-03-16,0.515578406481308,2020-03-16
2020-03-15,0.5220459753651491,2020-03-15
2020-03-14,0.524619284430412,2020-03-14
2020-03-13,0.5161690614511875,2020-03-13
2020-03-12,0.5196799227856896,2020-03-12
2020-03-11,0.5215411244205738,2020-03-11
2020-03-10,0.5146762481863241,2020-03-10
2020-03-09,0.5159384747757783,2020-03-09
2020-03-08,0.5140911893296619,2020-03-08
2020-03-07,0.519362246519214,2020-03-07
2020-03-06,0.5095441270530167,2020-03-06
2020-03-05,0.5112453861658081,2020-03-05
2020-03-04,0.5144121829339736,2020-03-04
2020-03-03,0.5113925445219949,2020-03-03
2020-03-02,0.5052437955286928,2020-03-02
2020-03-01,0.510863017966787,2020-03-01
2020-02-29,0.5212043551593357,2020-02-29
2020-02-28,0.5080015786317842,2020-02-28
2020-02-27,0.500754928327703,2020-02-27
2020-02-26,0.49883358247388465,2020-02-26
2020-02-25,0.4988619298000721,2020-02-25
2020-02-24,0.5023606919284587,2020-02-24
2020-02-23,0.5004176363359732,2020-02-23
2020-02-22,0.511581470824547,2020-02-22
2020-02-21,0.4950145802958423,2020-02-21
2020-02-20,0.5050756659438852,2020-02-20
2020-02-19,0.498892357007549,2020-02-19
2020-02-18,0.50404818775038,2020-02-18
2020-02-17,0.5014142004627651,2020-02-17
2020-02-16,0.4986409251102487,2020-02-16
2020-02-15,0.5142303951021667,2020-02-15
2020-02-14,0.5000923225833909,2020-02-14
2020-02-13,0.517879280050758,2020-02-13
2020-02-12,0.5138735444066991,2020-02-12
2020-02-11,0.5101844669050951,2020-02-11
2020-02-10,0.5095830075396818,2020-02-10
2020-02-09,0.5154998484619961,2020-02-09
2020-02-08,0.528221781707807,2020-02-08
2020-02-07,0.526266939534427,2020-02-07
2020-02-06,0.5154863998669985,2020-02-06
2020-02-05,0.5147386782988743,2020-02-05
2020-02-04,0.5117562524366182,2020-02-04
2020-02-03,0.510579012872287,2020-02-03
2020-02-02,0.5080905777065046,2020-02-02
2020-02-01,0.5239607760536054,2020-02-01
2020-01-31,0.5193933155907878,2020-01-31
2020-01-30,0.5067718657309606,2020-01-30
2020-01-29,0.5054531944469078,2020-01-29
2020-01-28,0.5038456972267642,2020-01-28
2020-01-27,0.5032115182712208,2020-01-27
2020-01-26,0.5054255648950993,2020-01-26
2020-01-25,0.5148017581042794,2020-01-25
2020-01-24,0.5076514443845227,2020-01-24
2020-01-23,0.49974800673415004,2020-01-23
2020-01-22,0.49582593403961306,2020-01-22
2020-01-21,0.49436863741446435,2020-01-21
2020-01-20,0.48994665203942045,2020-01-20
2020-01-19,0.4921995121237665,2020-01-19
2020-01-18,0.4927811256985465,2020-01-18
2020-01-17,0.4817016040223507,2020-01-17
2020-01-16,0.4985259901368,2020-01-16
2020-01-15,0.4980961626689416,2020-01-15
2020-01-14,0.4961625409630423,2020-01-14
2020-01-13,0.4937391852676659,2020-01-13
2020-01-12,0.49277424067345715,2020-01-12
2020-01-11,0.49897837039609255,2020-01-11
2020-01-10,0.49177477001437664,2020-01-10
2020-01-09,0.5019558033668482,2020-01-09
2020-01-08,0.49855654515580133,2020-01-08
2020-01-07,0.49873315467836643,2020-01-07
2020-01-06,0.49764768648900765,2020-01-06
2020-01-05,0.4988959551089895,2020-01-05
2020-01-04,0.502749267359373,2020-01-04
2020-01-03,0.4994942526651176,2020-01-03
2020-01-02,0.4996399313935618,2020-01-02
2020-01-01,0.5045766073582358,2020-01-01
